,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Australia,611.0,912.0,1209.0,1445.0,1665.0,1801.0,1966.0,2173.0,2379.0,2503.0,2646.0,2725.0,2783.0,2828.0,2912.0,2990.0,3115.0,3198.0,3280.0,3408.0,3489.0,3601.0,3693.0,3790.0,3835.0,3951.0,4062.0,4176.0,4304.0,4480.0,4571.0,4686.0
1,Austria,3459.0,8089.0,11371.0,12667.0,13923.0,16199.0,17114.0,18665.0,19606.0,20074.0,20344.0,20511.0,20804.0,21130.0,21621.0,22042.0,22623.0,22936.0,23281.0,23702.0,24271.0,25360.0,26392.0,27373.0,27942.0,28746.0,30093.0,31624.0,33370.0,35374.0,36997.0,39578.0
2,Canada,1894.0,3555.0,5146.0,7072.0,8595.0,10881.0,13004.0,15335.0,17280.0,18906.0,21424.0,23907.0,25344.0,26788.0,28233.0,29453.0,31108.0,32895.0,34633.0,36678.0,37536.0,38503.0,39349.0,40303.0,40991.0,42175.0,43261.0,44309.0,45435.0,46598.0,46977.0,48219.0
3,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,241.0,441.0,623.0,774.0,952.0,1067.0,1187.0,1286.0,1371.0,1464.0,1552.0,1682.0,1796.0,1961.0,2195.0,2455.0,2745.0,3032.0,3287.0,3783.0
4,France,1626.0,3138.0,4373.0,5310.0,6097.0,7535.0,9716.0,10859.0,11705.0,12401.0,13210.0,13673.0,13906.0,14244.0,14680.0,15023.0,15552.0,15924.0,16355.0,16931.0,17336.0,17999.0,18659.0,19322.0,19817.0,20445.0,21331.0,22221.0,23296.0,24326.0,25094.0,26406.0
5,Germany,66121.0,86122.0,99935.0,106809.0,113689.0,122699.0,129166.0,134973.0,138872.0,141242.0,143458.0,144312.0,145617.0,147555.0,150262.0,152458.0,155568.0,157470.0,159258.0,161196.0,162595.0,164609.0,166516.0,168799.0,170807.0,173587.0,177546.0,181634.0,185595.0,189266.0,193523.0,198644.0
6,Greece,576.0,930.0,1073.0,1153.0,1240.0,1433.0,1707.0,1939.0,2255.0,2469.0,2797.0,2902.0,2962.0,3026.0,3123.0,3237.0,3371.0,3443.0,3528.0,3652.0,3785.0,3945.0,4107.0,4217.0,4277.0,4406.0,4575.0,4752.0,4936.0,5070.0,5181.0,5384.0
7,Israel,1227.0,1746.0,2209.0,2533.0,2950.0,3266.0,3684.0,4238.0,4801.0,5127.0,5560.0,5839.0,5945.0,6109.0,6194.0,6258.0,6386.0,6443.0,6493.0,6604.0,6666.0,9523.0,11815.0,14321.0,14343.0,14386.0,14461.0,14527.0,14588.0,14669.0,14765.0,14908.0
8,Italy,1130.0,2526.0,3054.0,3699.0,5279.0,7474.0,9114.0,10820.0,12697.0,14112.0,16254.0,17740.0,19057.0,21050.0,23653.0,26384.0,29777.0,31178.0,32276.0,33260.0,34104.0,36010.0,38107.0,40714.0,42267.0,44300.0,47875.0,51324.0,55877.0,60843.0,63937.0,68923.0
9,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,142.0,272.0,326.0,345.0,375.0,386.0,393.0,399.0,425.0,428.0,434.0,446.0,452.0,457.0,473.0,487.0,504.0,524.0,536.0,547.0
10,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,788.0,974.0,1136.0,1275.0,1605.0,1743.0,1981.0,2528.0,3410.0,6762.0,11367.0,16335.0,19469.0,22844.0,28205.0,33752.0,40662.0,46553.0,50926.0,56896.0
11,United States,4924.0,10694.0,12794.0,14039.0,15117.0,17409.0,20590.0,23451.0,26319.0,28705.0,31428.0,33304.0,34660.0,36672.0,38721.0,40400.0,42382.0,43917.0,45508.0,47301.0,48387.0,49737.0,50810.0,51629.0,52165.0,52967.0,54248.0,55413.0,56656.0,57883.0,58660.0,60355.0
12,Sweden,996.0,1377.0,2063.0,2262.0,2438.0,2958.0,3268.0,3736.0,3865.0,3963.0,4053.0,4104.0,4146.0,4196.0,4258.0,4287.0,4324.0,4326.0,4333.0,4348.0,4365.0,4385.0,4414.0,4458.0,4509.0,4613.0,4780.0,4961.0,5134.0,5350.0,5517.0,5748.0
13,Hungary,10635.0,15062.0,19788.0,23462.0,25241.0,27750.0,29235.0,30479.0,31785.0,32559.0,33440.0,34120.0,35023.0,36007.0,37560.0,38573.0,39473.0,39739.0,40093.0,40424.0,40690.0,41204.0,41559.0,41905.0,42191.0,42611.0,43001.0,43272.0,43576.0,43872.0,44001.0,44187.0
14,Other countries,3730.0,6938.0,9226.0,10236.0,11599.0,14103.0,16470.0,18311.0,20951.0,23048.0,25248.0,25910.0,26519.0,27318.0,28390.0,29131.0,30216.0,30992.0,31797.0,32890.0,34083.0,37290.0,40047.0,42583.0,44267.0,46914.0,51064.0,55419.0,60877.0,66490.0,71389.0,81438.0
